航向角,过载,高度,速度
0.000859933,1.57686,10000,539.025
0.00187847,1.51745,10000,538.982
0.003155,1.43999,10000,538.94
0.00452482,1.36769,10000,538.899
0.00582061,1.29977,10000,538.857
0.00688136,1.23684,10000,538.816
0.00756445,1.18007,10000,538.774
0.00775909,1.13082,10000,538.731
0.00739918,1.09033,10000,538.689
0.00647407,1.05964,10000,538.646
0.00503539,1.03954,10000,538.604
0.00319886,1.03048,10000,538.561
0.0011404,1.03258,10000,538.519
-0.000916119,1.04555,10000,538.476
-0.00272322,1.0687,10000,538.434
-0.00404389,1.10095,10000,538.393
-0.00468509,1.14091,10000,538.351
-0.00452137,1.187,10000,538.31
-0.00350538,1.23761,10000,538.27
-0.00166622,1.29118,10000.1,538.23
0.000901532,1.34632,10000.1,538.19
0.00405349,1.40066,10000.1,538.151
0.0076151,1.45355,10000.1,538.112
0.0113979,1.50478,10000.1,538.074
0.0152133,1.55355,10000.1,538.036
0.0188837,1.59913,10000.1,537.999
0.0222519,1.64093,10000.1,537.962
0.0251901,1.67847,10000.1,537.926
0.0276091,1.7115,10000.1,537.89
0.0294663,1.74006,10000.1,537.854
0.0307715,1.76444,10000.1,537.819
